tsne_1,tsne_2,label
-14.325755,37.317364,D
-12.455039,38.62733,D
-13.756326,40.5429,D
-14.268406,36.6694,D
-12.549073,40.926506,D
-12.274821,40.2246,D
-13.752554,40.42392,D
-12.4556265,39.866085,D
-13.954232,40.000244,D
-12.325757,40.246777,D
-10.589792,36.267498,D
-10.502299,34.371456,D
-11.260438,34.980297,D
-10.959372,34.513603,D
-8.453005,39.01047,D
-11.761962,35.010334,D
-8.580911,39.16702,D
-7.830158,38.007267,D
-12.198545,34.493286,D
-8.676431,38.948963,D
-12.563439,34.652027,D
-12.29652,33.978905,D
-8.2307415,39.749203,D
-8.337927,38.688652,D
-12.02577,34.403233,D
-8.139499,38.69338,D
-10.4917755,34.238186,D
-8.166043,38.54126,D
-8.913993,36.649506,D
-11.6160755,34.285122,D
-7.983764,39.163757,D
-8.75408,36.868435,D
-11.055214,35.15856,D
-7.974801,39.235855,D
-8.835226,36.764683,D
-11.807824,34.286587,D
-8.168933,39.04092,D
-11.425343,34.14847,D
-11.48906,34.40942,D
-11.083546,35.238598,D
-7.833917,39.55718,D
-9.31251,36.038097,D
-7.87408,39.602917,D
48.256226,-18.83199,F
47.215107,-18.398117,F
52.321083,-19.431715,F
53.29103,-19.533081,F
53.431515,-19.485582,F
48.877262,-14.734054,F
46.42152,-18.139288,F
48.565357,-15.358848,F
53.07925,-17.783636,F
48.801765,-15.00513,F
52.48104,-19.274403,F
46.504402,-18.360577,F
46.0776,-18.521719,F
46.694576,-18.414001,F
49.909336,-20.038313,F
52.22232,-20.010704,F
47.57728,-19.837309,F
47.017193,-18.53482,F
53.463512,-20.402412,F
54.002716,-19.843937,F
53.85387,-19.905907,F
46.306114,-18.70796,F
46.800156,-18.993458,F
46.074825,-19.04142,F
52.830482,-22.068476,F
52.99777,-22.478441,F
50.168636,-20.12512,F
50.694874,-18.840292,F
49.846764,-15.511467,F
49.347713,-15.92026,F
46.20099,-19.074299,F
46.88968,-19.7353,F
49.102997,-16.438675,F
49.311893,-16.132687,F
50.056572,-15.478844,F
54.032486,-20.46334,F
54.928318,-20.295338,F
54.06878,-21.238728,F
50.389965,-20.350952,F
50.72999,-18.936241,F
53.878227,-22.2852,F
48.33282,-20.80167,F
54.29236,-21.117504,F
47.431034,-20.675653,F
51.88678,-21.8345,F
54.19032,-21.11158,F
53.97139,-20.602114,F
49.56006,-15.960259,F
49.23318,-16.104198,F
46.309338,-20.112425,F
51.453297,-21.557837,F
54.536556,-21.560482,F
53.22071,-16.63964,F
49.286568,-16.690214,F
46.55485,-19.420433,F
45.780815,-19.824423,F
47.950676,-20.804949,F
50.669117,-20.869577,F
52.220806,-22.397423,F
53.58343,-20.99393,F
51.525436,-15.490309,F
51.65798,-15.4250965,F
53.312855,-15.695837,F
51.964676,-21.870743,F
55.182285,-21.60123,F
50.768047,-16.818483,F
51.579983,-15.408653,F
49.854435,-15.907624,F
-54.482075,20.243906,E
-49.50709,14.944222,E
-52.558147,19.77287,E
-56.869118,21.887568,E
-54.26883,19.44127,E
-49.137573,17.92144,E
-51.722168,18.37311,E
-56.9266,21.997833,E
-52.95537,18.987452,E
-48.79388,16.352972,E
-52.047096,19.370007,E
-52.84392,20.103735,E
-55.52922,20.430815,E
-56.78803,21.283926,E
-49.685818,16.474083,E
-49.116695,16.825932,E
-55.98414,21.99943,E
-56.28681,22.090918,E
-49.501827,17.74932,E
-51.12545,16.798994,E
-55.598755,21.519335,E
-50.220867,16.778837,E
-48.38306,17.177238,E
-48.17189,17.147612,E
-49.254364,14.219505,E
-56.339844,21.771164,E
-47.94759,16.60159,E
-53.94636,20.527636,E
-51.159267,16.826479,E
-49.219154,15.245702,E
-56.989452,21.68272,E
-51.86111,19.325092,E
-50.62665,17.558588,E
-56.04289,21.961847,E
-51.02173,16.577894,E
-49.27617,17.167095,E
-57.101883,22.225292,E
-52.845856,19.325077,E
-52.055035,18.93182,E
-55.86858,21.446909,E
-50.25888,17.768866,E
-52.48043,19.883537,E
-56.54739,22.09611,E
-48.611664,16.8406,E
-52.270824,19.04302,E
-55.21039,21.43748,E
-47.69199,16.727314,E
-48.99663,14.425987,E
-47.71271,17.418854,E
-48.61655,15.986077,E
-52.72227,19.51142,E
-53.259293,20.027159,E
-48.43583,15.818754,E
-55.286953,20.259151,E
-47.99572,17.086264,E
-49.00633,16.108028,E
-56.936638,22.50516,E
-51.20328,17.670073,E
-51.298645,16.86787,E
-57.04305,22.323032,E
-47.77254,17.261353,E
-50.33682,14.387156,E
-54.27338,20.501768,E
-48.11071,16.040695,E
-53.788876,19.434237,E
-47.77171,14.540213,E
-53.95885,19.501688,E
-48.81623,14.552802,E
-48.344006,16.139574,E
-56.619774,22.114132,E
-50.6765,16.882658,E
-48.97871,18.312899,E
-54.98112,21.273548,E
-51.46594,18.365114,E
-48.341755,14.728335,E
-50.316525,15.020758,E
-52.064465,19.579027,E
-47.38229,15.665119,E
-50.135067,14.512175,E
-54.95598,21.161596,E
-54.69092,19.01117,E
-48.17589,15.155121,E
-47.70592,15.133168,E
-47.98024,17.950773,E
-51.899887,19.6754,E
-55.611244,22.0392,E
-47.605938,18.018753,E
-47.59835,15.218313,E
-47.29892,16.830915,E
-50.29906,17.02435,E
-56.45703,22.377745,E
-49.603714,16.907547,E
-51.87045,18.495996,E
-50.898773,17.265602,E
-54.81554,20.986074,E
-48.526398,16.785906,E
-56.862457,22.232378,E
-56.181046,21.603897,E
53.237305,-16.357458,F
46.06301,-19.799896,F
50.64699,-15.830068,F
53.452065,-16.885607,F
54.275204,-20.57393,F
53.841606,-17.091696,F
51.39097,-21.320976,F
53.15275,-20.775627,F
53.219666,-16.776304,F
46.157795,-19.236921,F
46.56302,-19.273817,F
47.99901,-20.797682,F
53.32259,-16.78951,F
53.145054,-16.700035,F
46.917854,-19.042675,F
50.81631,-18.87182,F
54.54259,-20.63389,F
53.26728,-16.75843,F
50.64935,-18.671074,F
49.56664,-16.132908,F
51.373737,-21.535004,F
51.67903,-21.572098,F
53.24492,-21.044641,F
52.301357,-22.402988,F
49.263496,-16.24493,F
49.55943,-16.091694,F
47.03265,-19.214108,F
50.19324,-16.32237,F
50.705734,-16.245806,F
50.782017,-15.436462,F
51.71546,-21.646587,F
51.25831,-21.546276,F
48.331043,-20.716557,F
53.24971,-16.72069,F
53.289352,-15.531081,F
53.626583,-20.780485,F
52.04081,-21.677063,F
45.587067,-19.663382,F
47.58207,-20.713518,F
51.335964,-21.464302,F
54.301147,-20.9084,F
50.48081,-15.436113,F
7.0434914,40.843216,G
9.733238,42.830605,G
9.730874,42.897472,G
10.106997,41.93462,G
9.500074,42.607227,G
10.29809,41.71882,G
10.454668,40.870094,G
9.726508,42.0326,G
9.274516,42.60125,G
10.357209,41.55761,G
8.50417,42.19739,G
10.118453,40.63534,G
8.45106,41.97737,G
9.611537,41.614674,G
7.6764917,42.49665,G
9.385398,42.42072,G
8.630835,42.430595,G
8.877698,42.610195,G
9.374292,41.395607,G
9.148382,41.48067,G
7.5988126,42.247578,G
8.8228445,42.432686,G
10.124961,40.27344,G
10.549901,40.69678,G
9.863415,40.260296,G
9.739794,39.906986,G
9.720626,39.787262,G
9.9244795,40.23725,G
9.752619,40.030437,G
9.491254,41.225414,G
10.823803,40.35621,G
10.103031,40.126247,G
8.242905,41.85155,G
8.384294,41.89347,G
8.536406,41.505936,G
7.74766,42.064487,G
9.247559,41.131973,G
9.694519,39.694996,G
7.289514,41.768528,G
8.393131,41.02444,G
7.9765897,41.295143,G
9.398905,40.02616,G
7.870734,41.172867,G
7.359159,41.708122,G
7.7476053,41.367554,G
8.597966,40.547794,G
0.17007412,26.465384,G
2.2312405,28.006672,G
0.9544387,23.844082,G
1.3966433,25.106068,G
1.5695792,25.785877,G
1.0008792,25.919254,G
1.4868574,24.272116,G
3.290311,26.319908,G
2.79804,24.35029,G
2.04104,25.339563,G
0.96781176,24.67183,G
0.72054833,23.36183,G
3.175744,26.79914,G
